Energy_keV,Counts
1335.878049,93
1339.756098,92
1343.634146,92
1347.512195,121
1351.390244,100
1355.268293,121
1359.146341,115
1363.02439,147
1366.902439,156
1370.780488,180
1374.658537,188
1378.536585,197
1382.414634,220
1386.292683,202
1390.170732,212
1394.04878,212
1397.926829,225
1401.804878,205
1405.682927,216
1409.560976,244
1413.439024,229
1417.317073,196
1421.195122,200
1425.073171,170
1428.95122,187
1432.829268,181
1436.707317,158
1440.585366,155
1444.463415,128
1448.341463,152
1452.219512,130
1456.097561,113
1459.97561,122
1463.853659,119
1467.731707,90
1471.609756,97
1475.487805,78
1479.365854,87
1483.243902,74
1487.121951,64
1491,65
1494.878049,67
1498.756098,61
1502.634146,54
1506.512195,56
1510.390244,53
1514.268293,49
1518.146341,43
1522.02439,34
1525.902439,54
1529.780488,33
1533.658537,37
1537.536585,29
1541.414634,30
1545.292683,28
1549.170732,24
1553.04878,32
1556.926829,39
1560.804878,43
1564.682927,27
1568.560976,27
1572.439024,23
1576.317073,24
1580.195122,25
1584.073171,20
1587.95122,25
1591.829268,13
1595.707317,8
1599.585366,18
1603.463415,14
1607.341463,10
1611.219512,8
1615.097561,12
1618.97561,7
1622.853659,9
1626.731707,11
1630.609756,9
1634.487805,11
1638.365854,7
1642.243902,7
1646.121951,8
1650,3
1653.878049,10
1657.756098,5
1661.634146,4
1665.512195,4
1669.390244,5
1673.268293,4
1677.146341,2
1681.02439,2
1684.902439,7
1688.780488,5
1692.658537,3
1696.536585,3
1700.414634,4
1704.292683,3
1708.170732,0
1712.04878,1
1715.926829,2
1719.804878,0
1723.682927,2
1727.560976,7
1731.439024,3
1735.317073,1
1739.195122,1
1743.073171,4
1746.95122,1
1750.829268,1
1754.707317,2
1758.585366,3
1762.463415,3
1766.341463,1
1770.219512,1
1774.097561,7
1777.97561,2
1781.853659,5
1785.731707,3
1789.609756,1
1793.487805,2
1797.365854,3
1801.243902,1
1805.121951,0
1809,1
1812.878049,0
1816.756098,5
1820.634146,3
1824.512195,2
1828.390244,1
1832.268293,1
1836.146341,0
1840.02439,3
1843.902439,1
1847.780488,1
1851.658537,1
1855.536585,2
1859.414634,1
1863.292683,0
1867.170732,2
1871.04878,1
1874.926829,2
1878.804878,1
1882.682927,2
1886.560976,3
1890.439024,2
1894.317073,4
1898.195122,0
1902.073171,1
1905.95122,1
1909.829268,1
1913.707317,0
1917.585366,0
1921.463415,0
1925.341463,1
1929.219512,2
1933.097561,1
1936.97561,0
1940.853659,1
1944.731707,0
1948.609756,2
1952.487805,1
1956.365854,2
1960.243902,1
1964.121951,0
1968,1
1971.878049,0
1975.756098,0
1979.634146,0
1983.512195,2
1987.390244,0
1991.268293,3
1995.146341,2
1999.02439,0
2002.902439,0
2006.780488,0
2010.658537,1
2014.536585,1
2018.414634,0
2022.292683,0
2026.170732,0
2030.04878,3
2033.926829,0
2037.804878,1
2041.682927,2
2045.560976,0
2049.439024,0
2053.317073,0
2057.195122,0
2061.073171,0
2064.95122,1
2068.829268,1
2072.707317,0
2076.585366,1
2080.463415,1
2084.341463,0
2088.219512,2
2092.097561,0
2095.97561,2
2099.853659,1
2103.731707,0
2107.609756,0
2111.487805,0
2115.365854,3
2119.243902,3
2123.121951,0
2127,0
2130.878049,0
2134.756098,2
2138.634146,1
2142.512195,0
2146.390244,4
2150.268293,1
2154.146341,1
2158.02439,0
2161.902439,0
2165.780488,1
2169.658537,2
2173.536585,1
2177.414634,1
2181.292683,0
2185.170732,0
2189.04878,0
2192.926829,1
2196.804878,1
2200.682927,0
2204.560976,0
2208.439024,0
2212.317073,0
2216.195122,0
2220.073171,0
2223.95122,1
2227.829268,2
2231.707317,0
2235.585366,1
2239.463415,1
2243.341463,0
2247.219512,1
2251.097561,1
2254.97561,0
2258.853659,0
2262.731707,0
2266.609756,0
2270.487805,2
2274.365854,0
2278.243902,0
2282.121951,0
2286,0
2289.878049,0
2293.756098,1
2297.634146,0
2301.512195,0
2305.390244,0
2309.268293,2
2313.146341,0
2317.02439,1
2320.902439,0
2324.780488,2
2328.658537,0
2332.536585,1
2336.414634,0
2340.292683,0
2344.170732,1
2348.04878,2
2351.926829,0
2355.804878,0
2359.682927,1
2363.560976,0
2367.439024,0
2371.317073,0
2375.195122,0
2379.073171,0
2382.95122,0
2386.829268,0
2390.707317,0
2394.585366,1
2398.463415,0
2402.341463,1
2406.219512,0
2410.097561,0
2413.97561,0
2417.853659,0
2421.731707,0
2425.609756,0
2429.487805,0
2433.365854,0
2437.243902,0
2441.121951,0
2445,0
2448.878049,0
2452.756098,1
2456.634146,2
2460.512195,0
2464.390244,0
2468.268293,1
2472.146341,0
2476.02439,1
2479.902439,2
2483.780488,1
2487.658537,0
2491.536585,0
2495.414634,0
2499.292683,0
2503.170732,0
2507.04878,0
2510.926829,0
2514.804878,0
2518.682927,0
2522.560976,0
2526.439024,0
2530.317073,0
2534.195122,1
2538.073171,0
2541.95122,0
2545.829268,0
2549.707317,1
2553.585366,0
2557.463415,0
2561.341463,0
2565.219512,1
2569.097561,0
2572.97561,2
2576.853659,1
2580.731707,1
2584.609756,1
2588.487805,0
2592.365854,2
2596.243902,1
2600.121951,0
2604,0
2607.878049,1
2611.756098,0
2615.634146,0
2619.512195,0
2623.390244,0
2627.268293,0
2631.146341,0
2635.02439,0
2638.902439,0
2642.780488,0
2646.658537,2
2650.536585,1
2654.414634,0
2658.292683,2
2662.170732,2
2666.04878,0
2669.926829,0
2673.804878,1
2677.682927,1
2681.560976,1
2685.439024,0
2689.317073,0
2693.195122,0
2697.073171,0
2700.95122,0
2704.829268,0
2708.707317,0
2712.585366,0
2716.463415,2
2720.341463,0
2724.219512,0
2728.097561,0
2731.97561,0
2735.853659,0
2739.731707,0
2743.609756,0
2747.487805,1
2751.365854,0
2755.243902,0
2759.121951,1
2763,0
2766.878049,0
2770.756098,0
2774.634146,0
2778.512195,0
2782.390244,0
2786.268293,0
2790.146341,0
2794.02439,0
2797.902439,0
2801.780488,0
2805.658537,0
2809.536585,0
2813.414634,0
2817.292683,0
2821.170732,0
2825.04878,0
2828.926829,0
2832.804878,0
2836.682927,0
2840.560976,1
2844.439024,1
2848.317073,0
2852.195122,0
2856.073171,0
2859.95122,0
2863.829268,0
2867.707317,0
2871.585366,0
2875.463415,0
2879.341463,0
2883.219512,0
2887.097561,0
2890.97561,0
2894.853659,0
2898.731707,0
2902.609756,0
2906.487805,0
2910.365854,0
2914.243902,0
2918.121951,0
2922,0
2925.878049,0
2929.756098,0
2933.634146,0
2937.512195,0
2941.390244,0
2945.268293,0
2949.146341,0
2953.02439,0
2956.902439,0
2960.780488,0
2964.658537,0
2968.536585,0
2972.414634,0
2976.292683,0
2980.170732,0
2984.04878,0
2987.926829,0
2991.804878,0
2995.682927,0
2999.560976,0
3003.439024,0
3007.317073,0
3011.195122,0
3015.073171,0
3018.95122,0
3022.829268,0
3026.707317,0
3030.585366,0
3034.463415,0
3038.341463,0
3042.219512,0
3046.097561,0
3049.97561,0
3053.853659,0
3057.731707,0
3061.609756,0
3065.487805,0
3069.365854,0
3073.243902,0
3077.121951,0
3081,0
3084.878049,0
3088.756098,0
3092.634146,0
3096.512195,0
3100.390244,0
3104.268293,0
3108.146341,0
3112.02439,0
3115.902439,0
3119.780488,0
3123.658537,0
3127.536585,0
3131.414634,0
3135.292683,0
3139.170732,0
3143.04878,0
3146.926829,0
3150.804878,0
3154.682927,0
3158.560976,0
3162.439024,0
3166.317073,0
3170.195122,0
3174.073171,0
3177.95122,0
3181.829268,0
3185.707317,1
3189.585366,0
3193.463415,0
3197.341463,0
3201.219512,0
3205.097561,0
3208.97561,1
3212.853659,0
3216.731707,0
3220.609756,0
3224.487805,0
3228.365854,0
3232.243902,0
3236.121951,0
3240,0
3243.878049,0
3247.756098,0
3251.634146,0
3255.512195,0
3259.390244,0
3263.268293,0
3267.146341,0
3271.02439,0
3274.902439,0
3278.780488,0
3282.658537,0
3286.536585,0
3290.414634,0
3294.292683,0
3298.170732,0
3302.04878,0
3305.926829,0
3309.804878,0
3313.682927,0
3317.560976,0
3321.439024,0
3325.317073,0
3329.195122,0
3333.073171,0
3336.95122,0
3340.829268,0
3344.707317,0
3348.585366,0
3352.463415,0
3356.341463,0
3360.219512,0
3364.097561,0
3367.97561,0
3371.853659,0
3375.731707,0
3379.609756,0
3383.487805,0
3387.365854,0
3391.243902,0
3395.121951,0
3399,0
3402.878049,0
3406.756098,0
3410.634146,0
3414.512195,0
3418.390244,0
3422.268293,0
3426.146341,0
3430.02439,0
3433.902439,0
3437.780488,0
3441.658537,0
3445.536585,0
3449.414634,0
3453.292683,0
3457.170732,0
3461.04878,0
3464.926829,0
3468.804878,0
3472.682927,0
3476.560976,0
3480.439024,0
3484.317073,0
3488.195122,0
3492.073171,0
3495.95122,0
3499.829268,0
3503.707317,0
3507.585366,0
3511.463415,0
3515.341463,0
3519.219512,0
3523.097561,0
3526.97561,0
3530.853659,0
3534.731707,0
3538.609756,1
3542.487805,0
3546.365854,4
3550.243902,0
3554.121951,0
3558,0
3561.878049,0
3565.756098,0
3569.634146,0
3573.512195,0
3577.390244,0
3581.268293,0
3585.146341,0
3589.02439,0
3592.902439,0
3596.780488,0
3600.658537,0
3604.536585,0
3608.414634,0
3612.292683,0
3616.170732,0
3620.04878,0
3623.926829,0
3627.804878,0
3631.682927,0
3635.560976,0
3639.439024,0
3643.317073,0
3647.195122,0
3651.073171,0
3654.95122,0
3658.829268,0
3662.707317,0
3666.585366,0
3670.463415,0
3674.341463,0
3678.219512,0
3682.097561,0
3685.97561,0
3689.853659,0
3693.731707,0
3697.609756,0
3701.487805,0
3705.365854,0
3709.243902,0
3713.121951,0
3717,0
3720.878049,0
3724.756098,0
3728.634146,0
3732.512195,0
3736.390244,0
3740.268293,0
3744.146341,0
3748.02439,0
3751.902439,0
3755.780488,0
3759.658537,0
3763.536585,0
3767.414634,0
3771.292683,0
3775.170732,0
3779.04878,0
3782.926829,0
3786.804878,0
3790.682927,0
3794.560976,0
3798.439024,0
3802.317073,0
3806.195122,0
3810.073171,0
3813.95122,0
3817.829268,0
3821.707317,0
3825.585366,0
3829.463415,0
3833.341463,0
3837.219512,0
3841.097561,0
3844.97561,0
3848.853659,0
3852.731707,0
3856.609756,0
3860.487805,0
3864.365854,0
3868.243902,0
3872.121951,0
3876,0
3879.878049,0
3883.756098,0
3887.634146,0
3891.512195,0
3895.390244,0
3899.268293,0
3903.146341,0
3907.02439,0
3910.902439,0
3914.780488,0
3918.658537,0
3922.536585,0
3926.414634,0
3930.292683,0
3934.170732,0
3938.04878,0
3941.926829,0
3945.804878,0
3949.682927,0
3953.560976,0
3957.439024,0
3961.317073,0
3965.195122,0
